DateTime,Time_S,Volt1_V PS0,Curr1_A PS0,Volt2_V PS0,Curr2_A PS0
16-Nov-2023 13:14:55,16.09440016746521,0.002252574,0.0003251898,0.004045489,0.0006565058
16-Nov-2023 13:14:56,16.378552436828613,0.002236787,0.0003281297,0.003999475,0.0006613284
16-Nov-2023 13:14:56,16.661030530929565,0.002200262,0.0003343963,0.004026284,0.0006619776
16-Nov-2023 13:14:56,16.94599413871765,0.002145474,0.000333468,0.004010279,0.0006573405
16-Nov-2023 13:14:56,17.22690510749817,0.002148879,0.0003354021,0.004028284,0.0006528888
16-Nov-2023 13:14:57,17.510825157165527,0.002146093,0.0003375684,0.00404789,0.0006476952
16-Nov-2023 13:14:57,17.79335045814514,0.002125354,0.0003342416,0.004090703,0.0006500137
16-Nov-2023 13:14:57,18.06141209602356,0.002140212,0.0003289034,0.004100706,0.0006522395
16-Nov-2023 13:14:58,18.353355646133423,0.002140831,0.0003272013,0.004109909,0.0006530742
16-Nov-2023 13:14:58,18.627758264541626,0.002142069,0.0003213215,0.004108308,0.0006568767
16-Nov-2023 13:14:58,18.909647703170776,0.002190976,0.0003183816,0.004094304,0.0006611429
16-Nov-2023 13:14:58,19.193612575531006,0.002204286,0.0003185363,0.004095505,0.0006553928
16-Nov-2023 13:14:59,19.478092193603516,0.00223524,0.0003223273,0.004093104,0.0006576187
16-Nov-2023 13:14:59,19.76085877418518,0.002186952,0.0003218631,0.004084301,0.0006582679
16-Nov-2023 13:14:59,20.04335117340088,0.002160022,0.0003234877,0.004075498,0.0006546509
16-Nov-2023 13:15:00,20.326732397079468,0.002159094,0.0003237198,0.00404749,0.0006497355
16-Nov-2023 13:15:00,20.626985549926758,0.002249788,0.0003225594,0.004033886,0.0006599373
16-Nov-2023 13:15:00,20.894026041030884,0.002267122,0.0003190779,0.004001076,0.0006540944
16-Nov-2023 13:15:00,21.176912307739258,0.002316338,0.0003181495,0.00398267,0.0006565985
16-Nov-2023 13:15:01,21.459959983825684,0.002299314,0.0003197742,0.003968266,0.0006620703
16-Nov-2023 13:15:01,21.74296808242798,0.002264336,0.0003275108,0.003966265,0.0006661511
16-Nov-2023 13:15:01,22.010329961776733,0.002236168,0.0003280524,0.003941058,0.0006565985
16-Nov-2023 13:15:02,22.30931258201599,0.00227517,0.0003301412,0.003923052,0.0006547436
16-Nov-2023 13:15:02,22.577027082443237,0.002265265,0.0003309922,0.003925453,0.0006528888
16-Nov-2023 13:15:02,22.862900018692017,0.002252883,0.0003300639,0.003955062,0.0006523323
16-Nov-2023 13:15:02,23.14469003677368,0.002218834,0.0003254219,0.003973867,0.0006464895
16-Nov-2023 13:15:03,23.42707347869873,0.002239264,0.0003264277,0.003966665,0.0006496428
16-Nov-2023 13:15:03,23.72610855102539,0.00226836,0.0003232557,0.003975868,0.0006586388
16-Nov-2023 13:15:03,23.993942975997925,0.002325934,0.0003220951,0.003977469,0.0006602155
16-Nov-2023 13:15:03,24.276773929595947,0.002282599,0.0003226367,0.003959463,0.0006591953
16-Nov-2023 13:15:04,24.567084312438965,0.002273932,0.0003214762,0.003943858,0.0006650381
16-Nov-2023 13:15:04,24.843564987182617,0.002258145,0.0003210894,0.003977069,0.0006662438
