19-Jul-2023 12:03:35,27,6.996775,0.9064085,-7.90034e-05,2.002428
DateTime,Time_S,Volt1_V,Volt2_V,Curr1_A,Curr2_A
19-Jul-2023 12:03:39,32,6.996913,0.9046032,-9.016338e-05,2.002417
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:22:54,4,6.997243,7.006344,-8.02434e-05,0.4309131
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:22:58,9,6.997169,7.006264,-6.699092e-05,0.4316811
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:03,13,6.997086,7.006377,-6.172093e-05,0.4308947
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:08,18,6.99713,7.006302,-7.97009e-05,0.4368508
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:12,23,6.997249,7.006293,-9.024089e-05,0.436107
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:17,27,6.997152,7.006257,-7.357841e-05,0.4249048
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:21,32,6.997157,7.006322,-5.908594e-05,0.4300271
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:26,36,6.997139,7.006248,-7.520591e-05,0.4319722
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:31,41,6.997039,7.006316,-8.962089e-05,0.4301841
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:35,46,6.99713,7.006196,-9.326338e-05,0.4285338
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:40,50,6.997108,7.006213,-7.559341e-05,0.4320858
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:45,55,6.997096,7.006133,-7.195091e-05,0.4349633
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:49,60,6.997106,7.006302,-9.427088e-05,0.4305364
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:54,64,6.997131,7.006295,-7.009091e-05,0.4384714
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:23:58,69,6.997199,7.006258,-8.574589e-05,0.4349807
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:03,73,6.99728,7.006351,-9.969587e-05,0.4312777
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:08,78,6.997133,7.006384,-6.420093e-05,0.4380526
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:12,83,6.997236,7.006392,-8.349839e-05,0.4433466
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:17,87,6.997326,7.006458,-9.551088e-05,0.4258638
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:22,92,6.997358,7.006424,-9.496837e-05,0.4358338
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:26,97,6.997223,7.006308,-7.388841e-05,0.434381
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:24:31,101,6.997075,7.006248,-6.691342e-05,0.4351084
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:00,4,6.997264,7.006209,-8.853589e-05,0.4337223
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:04,9,6.997074,7.006232,-8.551339e-05,0.4331026
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:09,13,6.997115,7.006367,-6.559592e-05,0.4361293
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:14,18,6.997084,7.006284,-6.885092e-05,0.4260732
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:18,23,6.997037,7.006404,-5.567594e-05,0.4305514
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:23,27,6.99715,7.006298,-5.474595e-05,0.4308976
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:27,32,6.997116,7.006304,-5.939594e-05,0.4362186
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:32,36,6.997072,7.006262,-6.032594e-05,0.4321173
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:37,41,6.99704,7.006175,-7.326841e-05,0.4376734
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:41,46,6.997129,7.006182,-8.853589e-05,0.4315137
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:46,50,6.997215,7.006258,-8.822589e-05,0.4283848
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:51,55,6.997239,7.00617,-8.613339e-05,0.4375487
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:25:55,60,6.997173,7.006197,-6.458843e-05,0.4333093
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:00,64,6.997118,7.006336,-7.97784e-05,0.4251451
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:04,69,6.997027,7.006293,-6.032594e-05,0.4400508
