DateTime,Time_S,Volt1_V PS0,Curr1_A PS0,Volt2_V PS0,Curr2_A PS0
16-Nov-2023 15:09:02,0.2834601402282715,3.602943,0.03192729,3.603236,0.03247993
16-Nov-2023 15:09:02,0.5561385154724121,3.602964,0.03192419,3.60321,0.03247817
16-Nov-2023 15:09:03,0.839606761932373,3.602965,0.03192211,3.603174,0.03248374
16-Nov-2023 15:09:03,1.1229832172393799,3.603023,0.03191994,3.603143,0.03248847
16-Nov-2023 15:09:03,1.4067189693450928,3.603081,0.03191414,3.603126,0.03248374
16-Nov-2023 15:09:04,1.6900899410247803,3.603101,0.03191166,3.603113,0.03248031
16-Nov-2023 15:09:04,1.9735612869262695,3.603045,0.03191352,3.603125,0.03248726
16-Nov-2023 15:09:04,2.2561933994293213,3.603061,0.0319146,3.603181,0.03248671
16-Nov-2023 15:09:04,2.539219379425049,3.602984,0.03191383,3.603222,0.03248597
16-Nov-2023 15:09:05,2.831638813018799,3.602967,0.03192133,3.603227,0.03248912
16-Nov-2023 15:09:05,3.11112904548645,3.60296,0.03192683,3.603243,0.03249153
16-Nov-2023 15:09:05,3.3842170238494873,3.602935,0.03192852,3.603216,0.03249264
16-Nov-2023 15:09:06,3.667921781539917,3.602966,0.03192837,3.603176,0.0324894
16-Nov-2023 15:09:06,3.942089080810547,3.603022,0.03193031,3.603135,0.03248633
16-Nov-2023 15:09:06,4.220956563949585,3.603077,0.0319286,3.603138,0.03248856
16-Nov-2023 15:09:06,4.503734350204468,3.603099,0.03192357,3.603142,0.03249051
16-Nov-2023 15:09:07,4.777860879898071,3.603092,0.03191886,3.603135,0.03248745
16-Nov-2023 15:09:07,5.0599799156188965,3.603104,0.03191537,3.603168,0.03249051
16-Nov-2023 15:09:07,5.347914695739746,3.603106,0.03191305,3.603204,0.03249542
16-Nov-2023 15:09:08,5.624900579452515,3.603085,0.03190934,3.603208,0.03249143
16-Nov-2023 15:09:08,5.917781591415405,3.60304,0.03190864,3.603239,0.03249153
16-Nov-2023 15:09:08,6.193529844284058,3.603018,0.03191375,3.603278,0.03249023
16-Nov-2023 15:09:08,6.46061110496521,3.603005,0.03191878,3.603269,0.03248847
16-Nov-2023 15:09:09,6.745139122009277,3.603026,0.03191561,3.603244,0.03248763
16-Nov-2023 15:09:09,7.039302110671997,3.603045,0.03191398,3.603237,0.032488
16-Nov-2023 15:09:09,7.304274320602417,3.603067,0.03191406,3.603231,0.03248504
16-Nov-2023 15:09:09,7.586950302124023,3.603054,0.03190864,3.603218,0.03248439
16-Nov-2023 15:09:10,7.8542962074279785,3.603013,0.03190555,3.603189,0.03248328
16-Nov-2023 15:09:10,8.137085914611816,3.602908,0.03191236,3.603204,0.03247817
16-Nov-2023 15:09:10,8.42498230934143,3.602882,0.031918,3.603203,0.03247483
16-Nov-2023 15:09:11,8.702236652374268,3.602945,0.03192342,3.603204,0.03247205
16-Nov-2023 15:09:11,8.969385147094727,3.603006,0.03192698,3.60321,0.03247159
16-Nov-2023 15:09:11,9.252135276794434,3.603022,0.03192868,3.603243,0.03247307
16-Nov-2023 15:09:11,9.534855365753174,3.60301,0.03192938,3.603263,0.03247743
16-Nov-2023 15:09:12,9.817582607269287,3.603042,0.03192249,3.603296,0.03248086
16-Nov-2023 15:09:12,10.101796865463257,3.602993,0.03191878,3.603305,0.03248179
16-Nov-2023 15:09:12,10.384802103042603,3.602974,0.03191584,3.603315,0.03248504
16-Nov-2023 15:09:13,10.655104398727417,3.602974,0.03191034,3.603322,0.0324906
16-Nov-2023 15:09:13,10.937186002731323,3.602927,0.03190539,3.603315,0.03249097
16-Nov-2023 15:09:13,11.229517459869385,3.602903,0.03190648,3.603283,0.03249004
16-Nov-2023 15:09:13,11.513807535171509,3.6029,0.03191058,3.603226,0.03249236
16-Nov-2023 15:09:14,11.78564977645874,3.602905,0.03191506,3.603222,0.03248874
16-Nov-2023 15:09:14,12.068823337554932,3.602919,0.03191994,3.60322,0.03247901
16-Nov-2023 15:09:14,12.354346990585327,3.60297,0.03191893,3.603219,0.03248021
16-Nov-2023 15:09:15,12.639143943786621,3.602995,0.03191847,3.603281,0.03248179
16-Nov-2023 15:09:15,12.931246757507324,3.602988,0.03191731,3.603317,0.03248012
16-Nov-2023 15:09:15,13.216211318969727,3.602977,0.03191081,3.603289,0.03248068
16-Nov-2023 15:09:15,13.5121591091156,3.602976,0.03190725,3.603239,0.03248902
16-Nov-2023 15:09:16,13.797045469284058,3.602971,0.03190887,3.603227,0.03248986
16-Nov-2023 15:09:16,14.086766242980957,3.602989,0.03190957,3.603138,0.03248893
